Sample_ID,Category,Bins,Taxonomy_name,Taxonomy_id,Taxonomy_lvl,kraken_assigned_reads,added_reads,new_est_reads,fraction_total_reads
SRR5240287,Ambulance,SRR5240287_bin.2,Acinetobacter lwoffii,28090,S,129,0,129,0.92143
SRR5240287,Ambulance,SRR5240287_bin.2,Acinetobacter johnsonii,40214,S,4,0,4,0.02857
SRR5240287,Ambulance,SRR5240287_bin.2,Acinetobacter sp. F9,2853158,S,1,0,1,0.00805
SRR5240287,Ambulance,SRR5240287_bin.2,Acinetobacter sp. NEB149,2725684,S,1,0,1,0.01338
SRR5240287,Ambulance,SRR5240287_bin.2,Acinetobacter baumannii,470,S,1,0,1,0.00714
SRR5240287,Ambulance,SRR5240287_bin.2,Acinetobacter soli,487316,S,1,0,1,0.00714
SRR5240287,Ambulance,SRR5240287_bin.2,Acinetobacter baylyi,202950,S,1,0,1,0.00714
SRR5240287,Ambulance,SRR5240287_bin.2,Acinetobacter schindleri,108981,S,1,0,1,0.00714
SRR5240287,Ambulance,SRR5240287_bin.3,Flavobacterium sp. YJ01,3031997,S,8,0,8,0.33333
SRR5240287,Ambulance,SRR5240287_bin.3,Flavobacterium sp. GSB-24,2994319,S,6,0,6,0.25
SRR5240287,Ambulance,SRR5240287_bin.3,Flavobacterium sp. IMCC34777,3003260,S,2,0,2,0.08333
SRR5240287,Ambulance,SRR5240287_bin.3,Flavobacterium sp. B183,907046,S,1,0,1,0.04167
SRR5240287,Ambulance,SRR5240287_bin.3,Flavobacterium sp. KBS0721,1179672,S,1,0,1,0.04167
SRR5240287,Ambulance,SRR5240287_bin.3,Flavobacterium sp. MDT1-60,1979344,S,1,0,1,0.04167
SRR5240287,Ambulance,SRR5240287_bin.3,Flavobacterium sp. F-70,2893884,S,1,0,1,0.04167
SRR5240287,Ambulance,SRR5240287_bin.3,Flavobacterium sp. F-323,2893885,S,1,0,1,0.04167
SRR5240287,Ambulance,SRR5240287_bin.3,Flavobacterium fluviale,2249356,S,2,0,2,0.08333
SRR5240287,Ambulance,SRR5240287_bin.3,Flavobacterium endoglycinae,2816357,S,1,0,1,0.04167
SRR5240287,Ambulance,SRR5240287_bin.4,Massilia sp. NP310,2861282,S,52,0,52,0.94561
SRR5240287,Ambulance,SRR5240287_bin.4,Massilia oculi,945844,S,3,0,3,0.05439
SRR5240287,Ambulance,SRR5240287_bin.5,Pseudomonas sp. HN2-3,2886360,S,24,0,24,0.4318
SRR5240287,Ambulance,SRR5240287_bin.5,Pseudomonas sp. B21-047,2895489,S,22,0,22,0.38764
SRR5240287,Ambulance,SRR5240287_bin.5,Pseudomonas sp. IsoF,2821559,S,10,0,10,0.18056
SRR5240289,Ambulance,SRR5240289_0,Streptomyces sp. 3214.6,1882757,S,1,0,1,0.02434
SRR5240289,Ambulance,SRR5240289_0,Streptomyces sp. WA6-1-16,2879427,S,1,0,1,0.03044
SRR5240289,Ambulance,SRR5240289_0,Streptomyces sp. SH5,3041765,S,1,0,1,0.02774
SRR5240289,Ambulance,SRR5240289_0,Streptomyces sp. VB1,2986803,S,1,1,2,0.03762
SRR5240289,Ambulance,SRR5240289_0,Streptomyces coeruleorubidus,116188,S,1,0,1,0.02595
SRR5240289,Ambulance,SRR5240289_0,Streptomyces griseorubiginosus,67304,S,1,0,1,0.02478
SRR5240289,Ambulance,SRR5240289_0,Streptomyces roseochromogenus,285450,S,1,0,1,0.02498
SRR5240289,Ambulance,SRR5240289_0,Streptomyces spectabilis,68270,S,1,0,1,0.02379
SRR5240289,Ambulance,SRR5240289_0,Streptomyces armeniacus,83291,S,1,0,1,0.01862
SRR5240289,Ambulance,SRR5240289_0,Corynebacterium glaucum,187491,S,1,0,1,0.02499
SRR5240289,Ambulance,SRR5240289_0,Mycolicibacterium fortuitum,1766,S,1,0,1,0.02492
SRR5240289,Ambulance,SRR5240289_0,Rhodococcus sp. USK13,2806442,S,1,0,1,0.02603
SRR5240289,Ambulance,SRR5240289_0,Protaetiibacter sp. SSC-01,2759943,S,1,0,1,0.0208
SRR5240289,Ambulance,SRR5240289_0,Saccharopolyspora erythraea,1836,S,1,0,1,0.01926
SRR5240289,Ambulance,SRR5240289_0,Nonomuraea sp. ATCC 55076,1909395,S,1,0,1,0.0188
SRR5240289,Ambulance,SRR5240289_0,Euzebya pacifica,1608957,S,1,0,1,0.01675
SRR5240289,Ambulance,SRR5240289_0,Pseudomonas koreensis,198620,S,1,0,1,0.02148
SRR5240289,Ambulance,SRR5240289_0,Pseudomonas fluorescens,294,S,1,0,1,0.02622
SRR5240289,Ambulance,SRR5240289_0,Pseudomonas sp. S09G 359,2054919,S,1,0,1,0.01851
SRR5240289,Ambulance,SRR5240289_0,Stenotrophomonas maltophilia,40324,S,1,1,2,0.04762
SRR5240289,Ambulance,SRR5240289_0,Thioalkalivibrio sp. K90mix,396595,S,1,0,1,0.01715
SRR5240289,Ambulance,SRR5240289_0,Rhodopseudomonas palustris,1076,S,1,0,1,0.03123
SRR5240289,Ambulance,SRR5240289_0,Pararhizobium sp. BT-229,2986923,S,1,0,1,0.02668
SRR5240289,Ambulance,SRR5240289_0,Celeribacter indicus,1208324,S,1,0,1,0.01697
SRR5240289,Ambulance,SRR5240289_0,Hydrogenophaga sp. PBC,795665,S,1,2,3,0.06224
SRR5240289,Ambulance,SRR5240289_0,Homo sapiens,9606,S,13,5,18,0.30921
SRR5240289,Ambulance,SRR5240289_0,Natrinema caseinilyticum,2961570,S,1,0,1,0.01642
SRR5240289,Ambulance,SRR5240289_0,Halovivax limisalsi,1453760,S,1,0,1,0.01645
SRR5240289,Ambulance,SRR5240289_1254,Stenotrophomonas maltophilia,40324,S,987,1,988,0.97148
SRR5240289,Ambulance,SRR5240289_1254,Pseudomonas oryzihabitans,47885,S,12,0,12,0.0118
SRR5240289,Ambulance,SRR5240289_1254,Pseudomonas monteilii,76759,S,1,0,1,0.00098
SRR5240289,Ambulance,SRR5240289_1254,Pseudomonas aeruginosa,287,S,2,0,2,0.00197
SRR5240289,Ambulance,SRR5240289_1254,Pseudomonas sp. KU26590,2991051,S,1,0,1,0.00098
SRR5240289,Ambulance,SRR5240289_1254,Acidovorax sp. YS12,2738413,S,5,0,5,0.00569
SRR5240289,Ambulance,SRR5240289_1254,Acidovorax temperans,80878,S,1,0,1,0.00158
SRR5240289,Ambulance,SRR5240289_1254,Diaphorobacter nitroreducens,164759,S,1,0,1,0.0011
SRR5240289,Ambulance,SRR5240289_1254,Diaphorobacter sp. MNS-0,2866628,S,1,0,1,0.00147
SRR5240289,Ambulance,SRR5240289_1254,Bordetella bronchiseptica,518,S,1,0,1,0.00098
SRR5240289,Ambulance,SRR5240289_1254,Aromatoleum anaerobium,182180,S,1,0,1,0.00098
SRR5240289,Ambulance,SRR5240289_1254,Marisediminicola antarctica,674079,S,1,0,1,0.00098
SRR5240289,Ambulance,SRR5240289_67,Bradyrhizobium australafricanum,2821406,S,1,0,1,0.0127
SRR5240289,Ambulance,SRR5240289_67,Bradyrhizobium sp. CCBAU 53338,1325111,S,1,0,1,0.01499
SRR5240289,Ambulance,SRR5240289_67,Sinorhizobium alkalisoli,1752398,S,1,0,1,0.01205
SRR5240289,Ambulance,SRR5240289_67,Shinella zoogloeoides,352475,S,1,3,4,0.03917
SRR5240289,Ambulance,SRR5240289_67,Methylocella tundrae,227605,S,1,0,1,0.00911
SRR5240289,Ambulance,SRR5240289_67,Chelativorans sp. AA-79,3028735,S,1,0,1,0.01053
SRR5240289,Ambulance,SRR5240289_67,Starkeya sp. ORNL1,2709380,S,1,0,1,0.01029
SRR5240289,Ambulance,SRR5240289_67,Citromicrobium sp. JL477,1634516,S,1,0,1,0.0112
SRR5240289,Ambulance,SRR5240289_67,Lichenicola cladoniae,1484109,S,1,0,1,0.00892
SRR5240289,Ambulance,SRR5240289_67,Falsirhodobacter sp. PG104,2692330,S,1,0,1,0.00918
SRR5240289,Ambulance,SRR5240289_67,Pseudomonas otitidis,319939,S,1,0,1,0.01552
SRR5240289,Ambulance,SRR5240289_67,Pseudomonas asgharzadehiana,2842349,S,1,0,1,0.01407
SRR5240289,Ambulance,SRR5240289_67,Pseudomonas arsenicoxydans,702115,S,1,0,1,0.01194
SRR5240289,Ambulance,SRR5240289_67,Pseudomonas fluorescens,294,S,1,2,3,0.0313
SRR5240289,Ambulance,SRR5240289_67,Luteimonas sp. MC1750,2799326,S,1,0,1,0.01592
SRR5240289,Ambulance,SRR5240289_67,Ignatzschineria sp. HR5S32,2923279,S,1,0,1,0.01575
SRR5240289,Ambulance,SRR5240289_67,Halotalea alkalilenta,376489,S,1,1,2,0.01847
SRR5240289,Ambulance,SRR5240289_67,Sulfurifustis variabilis,1675686,S,1,0,1,0.00995
SRR5240289,Ambulance,SRR5240289_67,Pandoraea sputorum,93222,S,1,0,1,0.01404
SRR5240289,Ambulance,SRR5240289_67,Cupriavidus necator,106590,S,1,2,3,0.0259
SRR5240289,Ambulance,SRR5240289_67,Paraburkholderia acidisoli,2571748,S,1,1,2,0.01872
SRR5240289,Ambulance,SRR5240289_67,Azospira restricta,404405,S,1,1,2,0.0223
SRR5240289,Ambulance,SRR5240289_67,Streptomyces sp. S063,2005885,S,1,1,2,0.01994
SRR5240289,Ambulance,SRR5240289_67,Streptomyces sp. RPA4-5,2721245,S,1,1,2,0.01854
SRR5240289,Ambulance,SRR5240289_67,Streptomyces luteoverticillatus,66425,S,1,1,2,0.01771
SRR5240289,Ambulance,SRR5240289_67,Streptomyces globosus,68209,S,1,1,2,0.01774
SRR5240289,Ambulance,SRR5240289_67,Streptomyces pratensis,1169025,S,1,0,1,0.0142
SRR5240289,Ambulance,SRR5240289_67,Agromyces protaetiae,2509455,S,2,2,4,0.03606
SRR5240289,Ambulance,SRR5240289_67,Kocuria turfanensis,388357,S,1,1,2,0.02035
SRR5240289,Ambulance,SRR5240289_67,Corynebacterium nuruki,1032851,S,1,0,1,0.01226
SRR5240289,Ambulance,SRR5240289_67,Solicola gregarius,2908642,S,1,0,1,0.01244
SRR5240289,Ambulance,SRR5240289_67,Kutzneria chonburiensis,1483604,S,1,0,1,0.01132
SRR5240289,Ambulance,SRR5240289_67,Pseudoclostridium thermosuccinogenes,84032,S,1,1,2,0.01753
SRR5240289,Ambulance,SRR5240289_67,[Clostridium] innocuum,1522,S,1,0,1,0.01318
SRR5240289,Ambulance,SRR5240289_67,Sphaerobacter thermophilus,2057,S,1,0,1,0.00813
SRR5240289,Ambulance,SRR5240289_67,Flavobacterium sp. K5-23,2746225,S,1,0,1,0.01191
SRR5240289,Ambulance,SRR5240289_67,Lacinutrix sp. WUR7,2653681,S,1,0,1,0.01246
SRR5240289,Ambulance,SRR5240289_67,Roseimicrobium sp. ORNL1,2711231,S,1,0,1,0.00809
SRR5240289,Ambulance,SRR5240289_67,Oceanidesulfovibrio marinus,370038,S,1,0,1,0.00925
SRR5240289,Ambulance,SRR5240289_67,Homo sapiens,9606,S,35,9,44,0.35482
SRR5240289,Ambulance,SRR5240289_67,Halosegnis sp. ZY10,2962671,S,1,1,2,0.01604
SRR5240289,Ambulance,SRR5240289_67,Thermoproteus tenax,2271,S,1,0,1,0.008
SRR5240289,Ambulance,SRR5240289_67,Candidatus Methanomethylophilus alvus,1291540,S,1,0,1,0.008
SRR5240292,Ambulance,SRR5240292_bin.1,Pseudomonas sp. KU26590,2991051,S,61,0,61,0.91045
SRR5240292,Ambulance,SRR5240292_bin.1,Pseudomonas sp. 15A4,2804761,S,3,0,3,0.04478
SRR5240292,Ambulance,SRR5240292_bin.1,Pseudomonas sp. MM227,3019968,S,1,0,1,0.01493
SRR5240292,Ambulance,SRR5240292_bin.1,Pseudomonas graminis,158627,S,1,0,1,0.01493
SRR5240292,Ambulance,SRR5240292_bin.1,Massilia sp. LPB0304,2769491,S,1,0,1,0.01493
SRR5240292,Ambulance,SRR5240292_bin.2,Pantoea agglomerans,549,S,27,0,27,0.93328
SRR5240292,Ambulance,SRR5240292_bin.2,Pantoea sp. At-9b,592316,S,1,1,2,0.06672
SRR5240292,Ambulance,SRR5240292_bin.4,Massilia sp. LPB0304,2769491,S,395,6,401,0.68932
SRR5240292,Ambulance,SRR5240292_bin.4,Massilia sp. WG5,1707785,S,35,2,37,0.06374
SRR5240292,Ambulance,SRR5240292_bin.4,Massilia sp. NP310,2861282,S,30,3,33,0.0569
SRR5240292,Ambulance,SRR5240292_bin.4,Massilia sp. H6,2970464,S,18,0,18,0.03129
SRR5240292,Ambulance,SRR5240292_bin.4,Massilia sp. HC52,2852099,S,6,0,6,0.01049
SRR5240292,Ambulance,SRR5240292_bin.4,Massilia sp. PAMC28688,2861283,S,5,0,5,0.00868
SRR5240292,Ambulance,SRR5240292_bin.4,Massilia sp. DM-R-R2A-13,2899220,S,5,0,5,0.00869
SRR5240292,Ambulance,SRR5240292_bin.4,Massilia sp. erpn,2738142,S,2,0,2,0.00371
SRR5240292,Ambulance,SRR5240292_bin.4,Massilia sp. YMA4,1593482,S,1,0,1,0.00183
SRR5240292,Ambulance,SRR5240292_bin.4,Massilia sp. Dwa41.01b,2709302,S,1,10,11,0.01933
SRR5240292,Ambulance,SRR5240292_bin.4,Massilia sp. Se16.2.3,2709303,S,1,10,11,0.01951
SRR5240292,Ambulance,SRR5240292_bin.4,Massilia forsythiae,2728020,S,15,0,15,0.02638
SRR5240292,Ambulance,SRR5240292_bin.4,Massilia varians,457921,S,7,0,7,0.01242
SRR5240292,Ambulance,SRR5240292_bin.4,Massilia oculi,945844,S,4,0,4,0.00758
SRR5240292,Ambulance,SRR5240292_bin.4,Massilia putida,1141883,S,1,0,1,0.0018
SRR5240292,Ambulance,SRR5240292_bin.4,Pseudoduganella plicata,321984,S,1,0,1,0.00174
SRR5240292,Ambulance,SRR5240292_bin.4,Pseudoduganella lutea,321985,S,1,0,1,0.00173
SRR5240292,Ambulance,SRR5240292_bin.4,Pseudoduganella flava,871742,S,1,0,1,0.00174
SRR5240292,Ambulance,SRR5240292_bin.4,Pseudoduganella sp. SL102,2995154,S,1,0,1,0.00175
SRR5240292,Ambulance,SRR5240292_bin.4,Janthinobacterium sp. PAMC25594,2861284,S,1,1,2,0.00454
SRR5240292,Ambulance,SRR5240292_bin.4,Janthinobacterium rivuli,2751478,S,1,1,2,0.00405
SRR5240292,Ambulance,SRR5240292_bin.4,Rugamonas sp. DEMB1,3039386,S,1,0,1,0.00173
SRR5240292,Ambulance,SRR5240292_bin.4,Acidovorax sp. 5MLIR,2949090,S,1,0,1,0.00174
SRR5240292,Ambulance,SRR5240292_bin.4,Variovorax paradoxus,34073,S,1,0,1,0.00176
SRR5240292,Ambulance,SRR5240292_bin.4,Hydrogenophaga sp. YM1,2806262,S,1,0,1,0.00175
SRR5240292,Ambulance,SRR5240292_bin.4,Verminephrobacter eiseniae,364317,S,1,0,1,0.00179
SRR5240292,Ambulance,SRR5240292_bin.4,Achromobacter sp. AONIH1,1758194,S,1,1,2,0.00368
SRR5240292,Ambulance,SRR5240292_bin.4,Pseudomonas sp. LTJR-52,2479392,S,1,0,1,0.0032
SRR5240292,Ambulance,SRR5240292_bin.4,Pseudomonas seleniipraecipitans,640205,S,1,0,1,0.00182
SRR5240292,Ambulance,SRR5240292_bin.4,Pseudomonas cremoricolorata,157783,S,1,0,1,0.00186
SRR5240292,Ambulance,SRR5240292_bin.4,Oceanimonas sp. GK1,511062,S,1,0,1,0.00172
SRR5240292,Ambulance,SRR5240292_bin.4,Sphingopyxis sp. YF1,2482763,S,1,0,1,0.00172
SRR5240295,Ambulance,SRR5240295_bin.3,Neisseria subflava,28449,S,34,0,34,0.94444
SRR5240295,Ambulance,SRR5240295_bin.3,Neisseria sp. oral taxon 014,641148,S,1,0,1,0.02778
SRR5240295,Ambulance,SRR5240295_bin.3,Neisseria sp. Marseille-Q5346,2972775,S,1,0,1,0.02778
SRR5240295,Ambulance,SRR5240295_bin.8,Staphylococcus hominis,1290,S,361,0,361,0.88251
SRR5240295,Ambulance,SRR5240295_bin.8,Staphylococcus epidermidis,1282,S,15,0,15,0.03666
SRR5240295,Ambulance,SRR5240295_bin.8,Staphylococcus haemolyticus,1283,S,3,0,3,0.00737
SRR5240295,Ambulance,SRR5240295_bin.8,Staphylococcus aureus,1280,S,3,0,3,0.0076
SRR5240295,Ambulance,SRR5240295_bin.8,Staphylococcus warneri,1292,S,1,0,1,0.00245
SRR5240295,Ambulance,SRR5240295_bin.8,Priestia aryabhattai,412384,S,2,0,2,0.00488
SRR5240295,Ambulance,SRR5240295_bin.8,Priestia megaterium,1404,S,1,0,1,0.00244
SRR5240295,Ambulance,SRR5240295_bin.8,Streptococcus salivarius,1304,S,13,0,13,0.03171
SRR5240295,Ambulance,SRR5240295_bin.8,Streptococcus oralis,1303,S,3,0,3,0.00732
SRR5240295,Ambulance,SRR5240295_bin.8,Streptococcus sp. HSISS3,1316412,S,1,0,1,0.00244
SRR5240295,Ambulance,SRR5240295_bin.8,Streptococcus sp. A12,1759399,S,1,0,1,0.00244
SRR5240295,Ambulance,SRR5240295_bin.8,Streptococcus sp. 1643,2576376,S,1,0,1,0.00244
SRR5240295,Ambulance,SRR5240295_bin.8,Streptococcus gwangjuense,1433513,S,1,0,1,0.00244
SRR5240295,Ambulance,SRR5240295_bin.8,Streptococcus thermophilus,1308,S,1,0,1,0.00244
SRR5240295,Ambulance,SRR5240295_bin.8,Streptococcus suis,1307,S,1,0,1,0.00244
SRR5240295,Ambulance,SRR5240295_bin.8,Streptococcus gordonii,1302,S,1,0,1,0.00244
SRR5240296,Ambulance,SRR5240296_bin.1,Pseudomonas sp. MM227,3019968,S,51,0,51,0.70807
SRR5240296,Ambulance,SRR5240296_bin.1,Pseudomonas sp. UW4,1207075,S,1,0,1,0.01752
SRR5240296,Ambulance,SRR5240296_bin.1,Pseudomonas rhizosphaerae,216142,S,15,0,15,0.20789
SRR5240296,Ambulance,SRR5240296_bin.1,Pseudomonas syringae,317,S,1,0,1,0.01616
SRR5240296,Ambulance,SRR5240296_bin.1,Pseudomonas savastanoi,29438,S,1,1,2,0.02963
SRR5240296,Ambulance,SRR5240296_bin.1,Pseudomonas putida,303,S,1,0,1,0.02073
SRR5240296,Ambulance,SRR5240296_bin.3,Psychrobacter sp. WB2,3043330,S,276,2,278,0.8751
SRR5240296,Ambulance,SRR5240296_bin.3,Psychrobacter sp. DAB_AL43B,1028416,S,10,0,10,0.03153
SRR5240296,Ambulance,SRR5240296_bin.3,Psychrobacter sp. WY6,2708350,S,7,0,7,0.02275
SRR5240296,Ambulance,SRR5240296_bin.3,Psychrobacter sp. P11G5,1699624,S,4,0,4,0.01421
SRR5240296,Ambulance,SRR5240296_bin.3,Psychrobacter sp. SC65A.3,2983299,S,3,0,3,0.01061
SRR5240296,Ambulance,SRR5240296_bin.3,Psychrobacter sp. 28M-43,2772254,S,3,0,3,0.0096
SRR5240296,Ambulance,SRR5240296_bin.3,Psychrobacter sp. KCTC 72983,2733866,S,3,0,3,0.01082
SRR5240296,Ambulance,SRR5240296_bin.3,Psychrobacter sp. P2G3,1699622,S,1,0,1,0.00356
SRR5240296,Ambulance,SRR5240296_bin.3,Psychrobacter sp. KH172YL61,2517899,S,1,0,1,0.00425
SRR5240296,Ambulance,SRR5240296_bin.3,Psychrobacter sp. AntiMn-1,1720344,S,1,0,1,0.00461
SRR5240296,Ambulance,SRR5240296_bin.3,Psychrobacter cryohalolentis,330922,S,1,0,1,0.00349
SRR5240296,Ambulance,SRR5240296_bin.3,Psychrobacter arcticus,334543,S,1,0,1,0.00316
SRR5240296,Ambulance,SRR5240296_bin.3,Psychrobacter sanguinis,861445,S,1,0,1,0.00317
SRR5240296,Ambulance,SRR5240296_bin.3,Moraxella osloensis,34062,S,1,0,1,0.00315
SRR5240296,Ambulance,SRR5240296_bin.6,Kocuria rhizophila,72000,S,45,0,45,0.97826
SRR5240296,Ambulance,SRR5240296_bin.6,Micrococcus luteus,1270,S,1,0,1,0.02174
SRR5240301,Ambulance,SRR5240301_bin.5,Cloacibacterium caeni,2004710,S,188,0,188,0.8632
SRR5240301,Ambulance,SRR5240301_bin.5,Cloacibacterium normanense,237258,S,20,0,20,0.0918
SRR5240301,Ambulance,SRR5240301_bin.5,Chryseobacterium manosquense,2754694,S,2,0,2,0.00919
SRR5240301,Ambulance,SRR5240301_bin.5,Chryseobacterium indologenes,253,S,1,0,1,0.00461
SRR5240301,Ambulance,SRR5240301_bin.5,Chryseobacterium sp. T16E-39,2015076,S,1,0,1,0.00459
SRR5240301,Ambulance,SRR5240301_bin.5,Kaistella sp. BT6-1-3,2989820,S,2,0,2,0.00924
SRR5240301,Ambulance,SRR5240301_bin.5,Kaistella haifensis,421525,S,1,0,1,0.00459
SRR5240301,Ambulance,SRR5240301_bin.5,Citrobacter sp. RHBSTW-00570,2742655,S,1,0,1,0.00819
SRR5240301,Ambulance,SRR5240301_bin.5,Phaeocystis globosa virus,251749,S,1,0,1,0.00459
SRR5240306,Ambulance,SRR5240306_bin.3,Rouxiella chamberiensis,1513468,S,62,0,62,0.9388
