Sample_ID,Category,Bins,Taxonomy_name,Taxonomy_id,Taxonomy_lvl,kraken_assigned_reads,added_reads,new_est_reads,fraction_total_reads
SRR1748536,Public_transport,SRR1748536_bin.1,Acinetobacter johnsonii,40214,S,134,1,135,0.785
SRR1748536,Public_transport,SRR1748536_bin.1,Acinetobacter lwoffii,28090,S,23,1,24,0.13938
SRR1748536,Public_transport,SRR1748536_bin.1,Acinetobacter baumannii,470,S,3,0,3,0.01766
SRR1748536,Public_transport,SRR1748536_bin.1,Acinetobacter pittii,48296,S,2,0,2,0.01162
SRR1748536,Public_transport,SRR1748536_bin.1,Acinetobacter sp. WCHA55,2004646,S,1,0,1,0.00579
SRR1748536,Public_transport,SRR1748536_bin.1,Acinetobacter sp. NEB 394,2743575,S,1,0,1,0.00583
SRR1748536,Public_transport,SRR1748536_bin.1,Acinetobacter sp. LoGeW2-3,1808001,S,1,0,1,0.00578
SRR1748536,Public_transport,SRR1748536_bin.1,Acinetobacter schindleri,108981,S,1,0,1,0.00579
SRR1748536,Public_transport,SRR1748536_bin.1,Acinetobacter ursingii,108980,S,1,0,1,0.00581
SRR1748536,Public_transport,SRR1748536_bin.1,Escherichia coli,562,S,3,0,3,0.01734
SRR1748536,Public_transport,SRR1748536_bin.6,Empedobacter falsenii,343874,S,470,0,470,0.90055
SRR1748536,Public_transport,SRR1748536_bin.6,Empedobacter stercoris,1628248,S,9,0,9,0.01741
SRR1748536,Public_transport,SRR1748536_bin.6,Empedobacter brevis,247,S,7,0,7,0.01349
SRR1748536,Public_transport,SRR1748536_bin.6,Chryseobacterium oranimense,421058,S,1,0,1,0.00192
SRR1748536,Public_transport,SRR1748536_bin.6,Epilithonimonas zeae,1416779,S,1,0,1,0.00192
SRR1748536,Public_transport,SRR1748536_bin.6,Faecalibacter bovis,2898187,S,1,0,1,0.00193
SRR1748536,Public_transport,SRR1748536_bin.6,Flavobacterium sp. xlx-214,2654325,S,1,0,1,0.00193
SRR1748536,Public_transport,SRR1748536_bin.6,Cellulophaga sp. HaHaR_3_176,1942464,S,1,0,1,0.00192
SRR1748536,Public_transport,SRR1748536_bin.6,Sphingobacterium sp. WM,3031802,S,1,0,1,0.00191
SRR1748536,Public_transport,SRR1748536_bin.6,Olivibacter sp. LS-1,2592345,S,1,0,1,0.00191
SRR1748536,Public_transport,SRR1748536_bin.6,Enterococcus casseliflavus,37734,S,6,0,6,0.01275
SRR1748536,Public_transport,SRR1748536_bin.6,Enterococcus faecium,1352,S,2,0,2,0.0042
SRR1748536,Public_transport,SRR1748536_bin.6,Enterococcus faecalis,1351,S,2,0,2,0.00417
SRR1748536,Public_transport,SRR1748536_bin.6,Enterococcus dispar,44009,S,2,0,2,0.00385
SRR1748536,Public_transport,SRR1748536_bin.6,Enterococcus mundtii,53346,S,1,0,1,0.00192
SRR1748536,Public_transport,SRR1748536_bin.6,Secundilactobacillus malefermentans,176292,S,1,0,1,0.00191
SRR1748536,Public_transport,SRR1748536_bin.6,Carnobacterium maltaromaticum,2751,S,1,0,1,0.00191
SRR1748536,Public_transport,SRR1748536_bin.6,Heyndrickxia oleronia,38875,S,1,0,1,0.00192
SRR1748536,Public_transport,SRR1748536_bin.6,Listeria monocytogenes,1639,S,1,0,1,0.00192
SRR1748536,Public_transport,SRR1748536_bin.6,Clostridium thermarum,1716543,S,1,0,1,0.00191
SRR1748536,Public_transport,SRR1748536_bin.6,Corynebacterium kroppenstedtii,161879,S,1,0,1,0.00191
SRR1748536,Public_transport,SRR1748536_bin.6,Acinetobacter pittii,48296,S,3,0,3,0.00605
SRR1748536,Public_transport,SRR1748536_bin.6,Acinetobacter baumannii,470,S,1,0,1,0.00238
SRR1748536,Public_transport,SRR1748536_bin.6,Acinetobacter johnsonii,40214,S,1,0,1,0.00191
SRR1748536,Public_transport,SRR1748536_bin.6,Acinetobacter sp. BHS4,2836181,S,1,0,1,0.00194
SRR1748536,Public_transport,SRR1748536_bin.6,Klebsiella pneumoniae,573,S,1,1,2,0.00444
SRR1748536,Public_transport,SRR1748536_bin.9,Atlantibacter hermannii,565,S,181,0,181,0.98907
SRR1748536,Public_transport,SRR1748536_bin.9,Klebsiella aerogenes,548,S,1,0,1,0.00546
SRR1748536,Public_transport,SRR1748536_bin.9,Pectobacterium sp. PL64,2738983,S,1,0,1,0.00546
SRR1748547,Public_transport,SRR1748547_bin.1,Moraxella osloensis,34062,S,67,1,68,1
SRR1748548,Public_transport,SRR1748548_bin.1,Moraxella osloensis,34062,S,25,0,25,1
SRR1748548,Public_transport,SRR1748548_bin.2,Dermacoccus nishinomiyaensis,1274,S,224,0,224,0.98678
SRR1748548,Public_transport,SRR1748548_bin.2,Dermacoccus sp. PAMC28757,2762331,S,2,0,2,0.00881
SRR1748548,Public_transport,SRR1748548_bin.2,Salinirubellus sp. BND22,2962676,S,1,0,1,0.00441
SRR1748550,Public_transport,SRR1748550_bin.4,Stutzerimonas stutzeri,316,S,13,0,13,0.71942
SRR1748550,Public_transport,SRR1748550_bin.4,Stutzerimonas kunmingensis,1211807,S,5,0,5,0.28058
SRR1748550,Public_transport,SRR1748550_bin.6,Atlantibacter hermannii,565,S,39,1,40,1
SRR1748552,Public_transport,SRR1748552_bin.1,Xanthomonas sp. H13-6,2989819,S,9,0,9,0.30068
SRR1748552,Public_transport,SRR1748552_bin.1,Xanthomonas sp. CFBP 8443,2971235,S,1,0,1,0.03438
SRR1748552,Public_transport,SRR1748552_bin.1,Xanthomonas campestris,339,S,10,0,10,0.35447
SRR1748552,Public_transport,SRR1748552_bin.1,Xanthomonas citri,346,S,1,1,2,0.0755
SRR1748552,Public_transport,SRR1748552_bin.1,Xanthomonas cucurbitae,56453,S,1,0,1,0.0338
SRR1748552,Public_transport,SRR1748552_bin.1,Xanthomonas hortorum,56454,S,1,0,1,0.0345
SRR1748552,Public_transport,SRR1748552_bin.1,Stenotrophomonas maltophilia,40324,S,3,0,3,0.1
SRR1748552,Public_transport,SRR1748552_bin.1,Stenotrophomonas sp. SAU14A_NAIMI4_5,2072413,S,1,0,1,0.03333
