Sample_ID,Category,Bins,Taxonomy_name,Taxonomy_id,Taxonomy_lvl,kraken_assigned_reads,added_reads,new_est_reads,fraction_total_reads
ERR3209754,Hospital_environment,ERR3209754_bin.10,Bradyrhizobium sp. WD16,1521768,S,15,0,15,0.22126
ERR3209754,Hospital_environment,ERR3209754_bin.10,Bradyrhizobium sp. SK17,2057741,S,4,0,4,0.06359
ERR3209754,Hospital_environment,ERR3209754_bin.10,Bradyrhizobium sp. CB3481,3039158,S,3,0,3,0.04568
ERR3209754,Hospital_environment,ERR3209754_bin.10,Bradyrhizobium sp. 186,2782654,S,3,0,3,0.05284
ERR3209754,Hospital_environment,ERR3209754_bin.10,Bradyrhizobium sp. CB82,3039159,S,2,0,2,0.03126
ERR3209754,Hospital_environment,ERR3209754_bin.10,Bradyrhizobium sp. 170,2782641,S,2,0,2,0.03465
ERR3209754,Hospital_environment,ERR3209754_bin.10,Bradyrhizobium sp. 14AB,2736875,S,2,0,2,0.03287
ERR3209754,Hospital_environment,ERR3209754_bin.10,Bradyrhizobium sp. A19,2898149,S,2,0,2,0.03037
ERR3209754,Hospital_environment,ERR3209754_bin.10,Bradyrhizobium sp. CCBAU 53340,1325112,S,2,0,2,0.03427
ERR3209754,Hospital_environment,ERR3209754_bin.10,Bradyrhizobium sp. ORS 285,115808,S,2,0,2,0.03141
ERR3209754,Hospital_environment,ERR3209754_bin.10,Bradyrhizobium sp. 6(2017),1197460,S,2,0,2,0.03363
ERR3209754,Hospital_environment,ERR3209754_bin.10,Bradyrhizobium sp. CB1024,2976823,S,1,0,1,0.01787
ERR3209754,Hospital_environment,ERR3209754_bin.10,Bradyrhizobium sp. CCBAU 51753,1325100,S,1,0,1,0.01561
ERR3209754,Hospital_environment,ERR3209754_bin.10,Bradyrhizobium sp. CCGUVB23,2949630,S,1,1,2,0.03182
ERR3209754,Hospital_environment,ERR3209754_bin.10,Bradyrhizobium sp. CCBAU 051011,858422,S,1,0,1,0.01554
ERR3209754,Hospital_environment,ERR3209754_bin.10,Bradyrhizobium sp. CB1650,3039153,S,1,0,1,0.01714
ERR3209754,Hospital_environment,ERR3209754_bin.10,Bradyrhizobium sp. BTAi1,288000,S,1,0,1,0.01532
ERR3209754,Hospital_environment,ERR3209754_bin.10,Bradyrhizobium sp. 195,2782662,S,1,0,1,0.01778
ERR3209754,Hospital_environment,ERR3209754_bin.10,Bradyrhizobium sp. 41S5,1404443,S,1,0,1,0.01785
ERR3209754,Hospital_environment,ERR3209754_bin.10,Bradyrhizobium sediminis,2840469,S,4,0,4,0.05904
ERR3209754,Hospital_environment,ERR3209754_bin.10,Bradyrhizobium genosp. L,83637,S,1,0,1,0.01485
ERR3209754,Hospital_environment,ERR3209754_bin.10,Bradyrhizobium lablabi,722472,S,1,0,1,0.0183
ERR3209754,Hospital_environment,ERR3209754_bin.10,[Pseudomonas] carboxydohydrogena,290,S,1,0,1,0.01471
ERR3209754,Hospital_environment,ERR3209754_bin.10,Methylorubrum extorquens,408,S,1,1,2,0.02941
ERR3209754,Hospital_environment,ERR3209754_bin.10,Blastomonas fulva,1550728,S,1,0,1,0.01471
ERR3209754,Hospital_environment,ERR3209754_bin.10,Sphingobium sp. TKS,1315974,S,1,0,1,0.01471
ERR3209754,Hospital_environment,ERR3209754_bin.10,Sphingopyxis sp. FD7,1914525,S,1,0,1,0.01471
ERR3209754,Hospital_environment,ERR3209754_bin.10,Sphingomonas sp. MM-1,745310,S,1,0,1,0.01471
ERR3209754,Hospital_environment,ERR3209754_bin.10,Brevundimonas albigilva,1312364,S,2,0,2,0.02941
ERR3209754,Hospital_environment,ERR3209754_bin.10,Roseomonas sp. OT10,2897332,S,1,0,1,0.01471
ERR3209754,Hospital_environment,ERR3209754_bin.1,Sphingomonas sp. HMP6,1517551,S,8,1,9,0.15191
ERR3209754,Hospital_environment,ERR3209754_bin.1,Sphingomonas sp. QA11,2950605,S,5,0,5,0.08383
ERR3209754,Hospital_environment,ERR3209754_bin.1,Sphingomonas sp. BT-65,2989821,S,3,0,3,0.05437
ERR3209754,Hospital_environment,ERR3209754_bin.1,Sphingomonas sp. SUN019,2937788,S,3,0,3,0.04991
ERR3209754,Hospital_environment,ERR3209754_bin.1,Sphingomonas sp. J315,2898433,S,3,0,3,0.05488
ERR3209754,Hospital_environment,ERR3209754_bin.1,Sphingomonas sp. PAMB00755,3012344,S,3,0,3,0.04977
ERR3209754,Hospital_environment,ERR3209754_bin.1,Sphingomonas sp. NIBR 02145,3014784,S,2,0,2,0.03548
ERR3209754,Hospital_environment,ERR3209754_bin.1,Sphingomonas sp. CL5.1,2653203,S,2,0,2,0.03519
ERR3209754,Hospital_environment,ERR3209754_bin.1,Sphingomonas sp. ZFBP2030,2972485,S,2,0,2,0.03393
ERR3209754,Hospital_environment,ERR3209754_bin.1,Sphingomonas sp. NIC1,1961362,S,2,4,6,0.10146
ERR3209754,Hospital_environment,ERR3209754_bin.1,Sphingomonas sp. 7/4-4,3018446,S,1,0,1,0.01898
ERR3209754,Hospital_environment,ERR3209754_bin.1,Sphingomonas sp. So64.6b,2997354,S,1,0,1,0.01696
ERR3209754,Hospital_environment,ERR3209754_bin.1,Sphingomonas sp. S2-65,2903960,S,1,0,1,0.01744
ERR3209754,Hospital_environment,ERR3209754_bin.1,Sphingomonas sp. AP4-R1,2735134,S,1,0,1,0.01633
ERR3209754,Hospital_environment,ERR3209754_bin.1,Sphingomonas sp. PAMC26645,2565555,S,1,0,1,0.02154
ERR3209754,Hospital_environment,ERR3209754_bin.1,Sphingomonas sp. LM7,1938607,S,1,0,1,0.01878
ERR3209754,Hospital_environment,ERR3209754_bin.1,Sphingomonas sp. AAP5,1523415,S,1,0,1,0.01893
ERR3209754,Hospital_environment,ERR3209754_bin.1,Sphingomonas sp. S1-29,2991074,S,1,0,1,0.02273
ERR3209754,Hospital_environment,ERR3209754_bin.1,Sphingomonas sp. LK11,1390395,S,1,0,1,0.02178
ERR3209754,Hospital_environment,ERR3209754_bin.1,Sphingomonas sp. S6-11,2991075,S,1,0,1,0.01763
ERR3209754,Hospital_environment,ERR3209754_bin.1,Sphingomonas sp. KC8,1030157,S,1,0,1,0.0163
ERR3209754,Hospital_environment,ERR3209754_bin.1,Sphingomonas panacis,1560345,S,1,0,1,0.01602
ERR3209754,Hospital_environment,ERR3209754_bin.1,Sphingomonas nostoxanthinifaciens,2872652,S,1,0,1,0.01603
ERR3209754,Hospital_environment,ERR3209754_bin.1,Sphingomonas changnyeongensis,2698679,S,1,0,1,0.01588
ERR3209754,Hospital_environment,ERR3209754_bin.1,Sphingomonas lutea,1045317,S,1,0,1,0.01584
ERR3209754,Hospital_environment,ERR3209754_bin.1,Sphingobium indicum,332055,S,1,0,1,0.02707
ERR3209754,Hospital_environment,ERR3209754_bin.1,Sphingobium phenoxybenzoativorans,1592790,S,1,0,1,0.01981
ERR3209754,Hospital_environment,ERR3209754_bin.1,Novosphingobium sp. EMRT-2,2571749,S,1,0,1,0.01563
ERR3209754,Hospital_environment,ERR3209754_bin.1,Sandaracinobacteroides saxicola,2759707,S,1,0,1,0.01563
ERR3209754,Hospital_environment,ERR3209754_bin.5,Achromobacter sp. AONIH1,1758194,S,98,0,98,0.9899
ERR3209754,Hospital_environment,ERR3209754_bin.5,Acidovorax sp. KKS102,358220,S,1,0,1,0.0101
ERR3209755,Hospital_environment,ERR3209755_bin.10,Methylobacterium aquaticum,270351,S,118,0,118,0.96721
ERR3209755,Hospital_environment,ERR3209755_bin.10,Methylobacterium indicum,1775910,S,2,0,2,0.01639
ERR3209755,Hospital_environment,ERR3209755_bin.10,Methylobacterium radiotolerans,31998,S,1,0,1,0.0082
ERR3209755,Hospital_environment,ERR3209755_bin.10,Methylobacterium sp. C1,1479019,S,1,0,1,0.0082
ERR3209755,Hospital_environment,ERR3209755_bin.5,Sphingomonas melonis,152682,S,23,0,23,0.48936
ERR3209755,Hospital_environment,ERR3209755_bin.5,Sphingomonas sp. NIC1,1961362,S,21,0,21,0.44681
ERR3209755,Hospital_environment,ERR3209755_bin.5,Sphingomonas sp. CV7422,3018036,S,1,0,1,0.02128
ERR3209755,Hospital_environment,ERR3209755_bin.5,Sphingomonas koreensis,93064,S,1,0,1,0.02128
ERR3209755,Hospital_environment,ERR3209755_bin.5,Erythrobacter litoralis,39960,S,1,0,1,0.02128
ERR3209755,Hospital_environment,ERR3209755_bin.6,Methylobacterium radiotolerans,31998,S,169,0,169,0.7788
ERR3209755,Hospital_environment,ERR3209755_bin.6,Methylobacterium sp. C1,1479019,S,14,0,14,0.06452
ERR3209755,Hospital_environment,ERR3209755_bin.6,Methylobacterium sp. NMS14P,2894310,S,8,0,8,0.03687
ERR3209755,Hospital_environment,ERR3209755_bin.6,Methylobacterium sp. WL1,2603276,S,2,0,2,0.00922
ERR3209755,Hospital_environment,ERR3209755_bin.6,Methylobacterium aquaticum,270351,S,12,0,12,0.0553
ERR3209755,Hospital_environment,ERR3209755_bin.6,Methylobacterium mesophilicum,39956,S,4,0,4,0.01843
ERR3209755,Hospital_environment,ERR3209755_bin.6,Methylobacterium brachiatum,269660,S,3,0,3,0.01382
ERR3209755,Hospital_environment,ERR3209755_bin.6,Methylobacterium durans,2202825,S,1,0,1,0.00461
ERR3209755,Hospital_environment,ERR3209755_bin.6,Methylobacterium radiodurans,2202828,S,1,0,1,0.00461
ERR3209755,Hospital_environment,ERR3209755_bin.6,Methylorubrum populi,223967,S,2,0,2,0.00922
ERR3209755,Hospital_environment,ERR3209755_bin.6,Methylorubrum extorquens,408,S,1,0,1,0.00461
ERR3209755,Hospital_environment,ERR3209755_bin.7,Methylobacterium radiodurans,2202828,S,188,0,188,0.74017
ERR3209755,Hospital_environment,ERR3209755_bin.7,Methylobacterium radiotolerans,31998,S,12,0,12,0.04744
ERR3209755,Hospital_environment,ERR3209755_bin.7,Methylobacterium sp. C1,1479019,S,3,0,3,0.01186
ERR3209755,Hospital_environment,ERR3209755_bin.7,Methylobacterium sp. NMS14P,2894310,S,3,0,3,0.01181
ERR3209755,Hospital_environment,ERR3209755_bin.7,Methylobacterium sp. 17Sr1-1,2202826,S,2,0,2,0.00787
ERR3209755,Hospital_environment,ERR3209755_bin.7,Methylobacterium sp. WL1,2603276,S,1,0,1,0.00394
ERR3209755,Hospital_environment,ERR3209755_bin.7,Methylobacterium sp. FF17,2984843,S,1,0,1,0.00394
ERR3209755,Hospital_environment,ERR3209755_bin.7,Methylobacterium organophilum,410,S,8,0,8,0.0315
ERR3209755,Hospital_environment,ERR3209755_bin.7,Methylobacterium durans,2202825,S,5,0,5,0.01969
ERR3209755,Hospital_environment,ERR3209755_bin.7,Methylobacterium nodulans,114616,S,4,2,6,0.0273
ERR3209755,Hospital_environment,ERR3209755_bin.7,Methylobacterium tardum,374432,S,3,0,3,0.01181
ERR3209755,Hospital_environment,ERR3209755_bin.7,Methylobacterium brachiatum,269660,S,2,0,2,0.00787
ERR3209755,Hospital_environment,ERR3209755_bin.7,Methylobacterium terrae,2202827,S,2,0,2,0.00787
ERR3209755,Hospital_environment,ERR3209755_bin.7,Methylobacterium mesophilicum,39956,S,1,0,1,0.00394
ERR3209755,Hospital_environment,ERR3209755_bin.7,Methylobacterium aquaticum,270351,S,1,0,1,0.00394
ERR3209755,Hospital_environment,ERR3209755_bin.7,Methylorubrum populi,223967,S,8,0,8,0.0315
ERR3209755,Hospital_environment,ERR3209755_bin.7,Methylorubrum extorquens,408,S,4,0,4,0.01575
ERR3209755,Hospital_environment,ERR3209755_bin.7,Methylorubrum sp. B1-46,2897334,S,1,0,1,0.00394
ERR3209755,Hospital_environment,ERR3209755_bin.7,Shinella sp. HZN7,879274,S,1,0,1,0.00394
ERR3209755,Hospital_environment,ERR3209755_bin.7,Sphingopyxis macrogoltabida,33050,S,1,0,1,0.00394
ERR3209756,Hospital_environment,ERR3209756_bin.11,Methylobacterium radiotolerans,31998,S,141,0,141,0.83432
ERR3209756,Hospital_environment,ERR3209756_bin.11,Methylobacterium sp. C1,1479019,S,10,0,10,0.05917
ERR3209756,Hospital_environment,ERR3209756_bin.11,Methylobacterium sp. NMS14P,2894310,S,6,0,6,0.0355
ERR3209756,Hospital_environment,ERR3209756_bin.11,Methylobacterium sp. WL1,2603276,S,1,0,1,0.00592
ERR3209756,Hospital_environment,ERR3209756_bin.11,Methylobacterium sp. 391_Methyba4,3038924,S,1,0,1,0.00592
ERR3209756,Hospital_environment,ERR3209756_bin.11,Methylobacterium mesophilicum,39956,S,5,0,5,0.02959
ERR3209756,Hospital_environment,ERR3209756_bin.11,Methylobacterium radiodurans,2202828,S,2,0,2,0.01183
ERR3209756,Hospital_environment,ERR3209756_bin.11,Methylobacterium tardum,374432,S,1,0,1,0.00592
ERR3209756,Hospital_environment,ERR3209756_bin.11,Methylorubrum sp. B1-46,2897334,S,2,0,2,0.01183
ERR3209757,Hospital_environment,ERR3209757_bin.10,Sphingomonas sanguinis,33051,S,22,0,22,0.43137
ERR3209757,Hospital_environment,ERR3209757_bin.10,Sphingomonas sp. LK11,1390395,S,20,0,20,0.39216
ERR3209757,Hospital_environment,ERR3209757_bin.10,Sphingomonas paucimobilis,13689,S,9,0,9,0.17647
ERR3209757,Hospital_environment,ERR3209757_bin.11,Rhodopseudomonas boonkerdii,475937,S,35,0,35,0.97222
ERR3209757,Hospital_environment,ERR3209757_bin.11,Rhodopseudomonas sp. SK50-23,340268,S,1,0,1,0.02778
ERR3209757,Hospital_environment,ERR3209757_bin.12,Phreatobacter stygius,1940610,S,318,4,322,0.63268
ERR3209757,Hospital_environment,ERR3209757_bin.12,Phreatobacter cathodiphilus,1868589,S,12,0,12,0.02423
ERR3209757,Hospital_environment,ERR3209757_bin.12,Phreatobacter sp. NMCR1094,2570229,S,6,0,6,0.01201
ERR3209757,Hospital_environment,ERR3209757_bin.12,Methylobacterium sp. C1,1479019,S,6,0,6,0.01238
ERR3209757,Hospital_environment,ERR3209757_bin.12,Methylobacterium sp. NMS14P,2894310,S,2,0,2,0.00397
ERR3209757,Hospital_environment,ERR3209757_bin.12,Methylobacterium sp. WL1,2603276,S,1,0,1,0.00198
ERR3209757,Hospital_environment,ERR3209757_bin.12,Methylobacterium sp. SyP6R,2718876,S,1,0,1,0.00198
ERR3209757,Hospital_environment,ERR3209757_bin.12,Methylobacterium aquaticum,270351,S,6,0,6,0.01192
ERR3209757,Hospital_environment,ERR3209757_bin.12,Methylobacterium radiotolerans,31998,S,5,0,5,0.01053
ERR3209757,Hospital_environment,ERR3209757_bin.12,Methylobacterium mesophilicum,39956,S,4,0,4,0.0079
ERR3209757,Hospital_environment,ERR3209757_bin.12,Methylobacterium nodulans,114616,S,2,14,16,0.03171
ERR3209757,Hospital_environment,ERR3209757_bin.12,Methylobacterium brachiatum,269660,S,2,0,2,0.00397
ERR3209757,Hospital_environment,ERR3209757_bin.12,Methylobacterium tardum,374432,S,2,0,2,0.00396
ERR3209757,Hospital_environment,ERR3209757_bin.12,Methylobacterium phyllosphaerae,418223,S,2,0,2,0.00404
ERR3209757,Hospital_environment,ERR3209757_bin.12,Methylobacterium oryzae,334852,S,1,0,1,0.00199
ERR3209757,Hospital_environment,ERR3209757_bin.12,Methylobacterium indicum,1775910,S,1,0,1,0.00199
ERR3209757,Hospital_environment,ERR3209757_bin.12,Methylobacterium currus,2051553,S,1,0,1,0.00199
ERR3209757,Hospital_environment,ERR3209757_bin.12,Methylobacterium terrae,2202827,S,1,0,1,0.00199
ERR3209757,Hospital_environment,ERR3209757_bin.12,Methylobacterium radiodurans,2202828,S,1,0,1,0.00199
ERR3209757,Hospital_environment,ERR3209757_bin.12,Methylorubrum extorquens,408,S,3,0,3,0.006
ERR3209757,Hospital_environment,ERR3209757_bin.12,Methylorubrum populi,223967,S,3,0,3,0.00602
ERR3209757,Hospital_environment,ERR3209757_bin.12,Methylorubrum sp. B1-46,2897334,S,2,0,2,0.00396
ERR3209757,Hospital_environment,ERR3209757_bin.12,Microvirga sp. R24,2740529,S,1,0,1,0.00198
ERR3209757,Hospital_environment,ERR3209757_bin.12,Bradyrhizobium sp. SK17,2057741,S,2,0,2,0.00483
ERR3209757,Hospital_environment,ERR3209757_bin.12,Bradyrhizobium sp. 6(2017),1197460,S,2,0,2,0.00538
ERR3209757,Hospital_environment,ERR3209757_bin.12,Bradyrhizobium sp. CB82,3039159,S,1,0,1,0.00232
ERR3209757,Hospital_environment,ERR3209757_bin.12,Bradyrhizobium sp. A19,2898149,S,1,0,1,0.00216
ERR3209757,Hospital_environment,ERR3209757_bin.12,Bradyrhizobium sp. CCBAU 53351,1325114,S,1,0,1,0.00315
ERR3209757,Hospital_environment,ERR3209757_bin.12,Bradyrhizobium sp. 186,2782654,S,1,0,1,0.00308
ERR3209757,Hospital_environment,ERR3209757_bin.12,Bradyrhizobium sp. CB2312,3039155,S,1,0,1,0.00295
ERR3209757,Hospital_environment,ERR3209757_bin.12,Bradyrhizobium sp. CIAT3101,439387,S,1,0,1,0.00241
ERR3209757,Hospital_environment,ERR3209757_bin.12,Bradyrhizobium sp. BTAi1,288000,S,1,0,1,0.00221
ERR3209757,Hospital_environment,ERR3209757_bin.12,Bradyrhizobium sp. ORS 285,115808,S,1,0,1,0.00236
ERR3209757,Hospital_environment,ERR3209757_bin.12,Bradyrhizobium sp. ORS 278,114615,S,1,0,1,0.00233
ERR3209757,Hospital_environment,ERR3209757_bin.12,Bradyrhizobium sediminis,2840469,S,3,0,3,0.00596
ERR3209757,Hospital_environment,ERR3209757_bin.12,Bradyrhizobium diazoefficiens,1355477,S,2,1,3,0.0063
ERR3209757,Hospital_environment,ERR3209757_bin.12,Bradyrhizobium paxllaeri,190148,S,2,0,2,0.00406
ERR3209757,Hospital_environment,ERR3209757_bin.12,Bradyrhizobium lablabi,722472,S,2,1,3,0.00599
ERR3209757,Hospital_environment,ERR3209757_bin.12,Bradyrhizobium pachyrhizi,280333,S,1,0,1,0.00228
ERR3209757,Hospital_environment,ERR3209757_bin.12,Bradyrhizobium cosmicum,1404864,S,1,0,1,0.00212
ERR3209757,Hospital_environment,ERR3209757_bin.12,Bradyrhizobium arachidis,858423,S,1,0,1,0.00328
ERR3209757,Hospital_environment,ERR3209757_bin.12,Bradyrhizobium canariense,255045,S,1,0,1,0.0037
