Sample_ID,Category,Bins,Contig_ID,Matched_Species,Abbreviated_Gene_Name,Counts,Protein Accession,ARO_ID,Percentage of identical matches, Alignment length,Number of mismatches,Number of gap openings,Start of alignment in query,End of alignment in query,Start of alignment in subject, End of alignment in subject,Expected value,Bit score,CVTERM ID,Model Sequence ID,Model ID,ARO_Name,DNA Accession,AMR Gene Family,Drug/Antibiotics_Class,Resistance Mechanism,,,,
SRR5240313,Ambulances,SRR5240313_bin.6,xx652,Pseudomonas sp. MTM4 (taxid 2705472),rsmA,1,AAC16242.1,ARO:3005069,100,61,0,0,2484,2302,1,61,5.72E-33,119,43273,6102,3807,rsmA,AF061757.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,diaminopyrimidine antibiotic;fluoroquinolone antibiotic;phenicol antibiotic,antibiotic efflux,,,,
SRR5240317,Ambulances,SRR5240317_bin.8,xx459,Pantoea agglomerans (taxid 549),Ecol_gyrB_AMU,2,BAE77595.1,ARO:3003303,100,52,0,0,158,3,1,52,1.32E-23,107,39887,2063,111,Escherichia coli gyrB conferring resistance to aminocoumarin,AP009048.1,aminocoumarin resistant gyrB,aminocoumarin antibiotic,antibiotic target alteration,,,,
SRR5240319,Ambulances,SRR5240319_bin.6,xx43,Enterococcus faecium ATCC 8459 = NRRL B-2354 (taxid 1158600),efmA,1,BAG75524.1,ARO:3003954,100,428,0,0,37512,38795,1,428,4.23E-269,815,40724,3757,2426,efmA,AB467372.1,major facilitator superfamily (MFS) antibiotic efflux pump,fluoroquinolone antibiotic;macrolide antibiotic,antibiotic efflux,,,,
SRR5240342,Ambulances,SRR5240342_bin.18,xx37,Acinetobacter radioresistens DSM 6976 = NBRC 102413 = CIP 103788 (taxid 981334),OXA-23,1,AAV65289.1,ARO:3001418,100,273,0,0,79152,78334,1,273,7.97E-178,547,37818,885,1128,OXA-23,AY795964.1,OXA beta-lactamase;OXA-23-like beta-lactamase,carbapenem;penam,antibiotic inactivation,,,,
SRR5240345,Ambulances,SRR5240345_bin.2,xx75,Enterococcus faecalis ATCC 29212 (taxid 1201292),Efae_YybT_DAP,1,AAO79895.1,ARO:3003797,100,658,0,0,6692,4719,1,658,0,1226,40482,5217,2301,Enterococcus faecalis YybT with mutation conferring daptomycin resistance,AE016830.1,daptomycin resistant YybT,peptide antibiotic,antibiotic target alteration,,,,
SRR5240350,Ambulances,SRR5240350_bin.5,xx395,Enterococcus avium (taxid 33945),tet(M),1,BAB82500.1,ARO:3000186,100,53,0,0,159,1,1,53,1.12E-22,104,36325,6139,1692,tet(M),AB039845.1,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,,,,
SRR5240351,Ambulances,SRR5240351_bin.1,xx13,Staphylococcus aureus subsp. aureus ST228 (taxid 1074919),Saur_menA_LYS,3,ABD30105.1,ARO:3003917,100,312,0,0,51361,52296,1,312,5.5E-196,601,40625,5198,2394,Staphylococcus aureus menA with mutation conferring resistance to lysocin,CP000253.1,lysocin resistant menA,peptide antibiotic,antibiotic target alteration,,,,
SRR5240351,Ambulances,SRR5240351_bin.1,xx22,Staphylococcus aureus subsp. aureus JKD6159 (taxid 869816),Saur_UhpT_FOF,1,CAG39240.1,ARO:3003902,100,459,0,0,87444,88820,1,459,4.43E-295,892,40604,5196,2381,Staphylococcus aureus UhpT with mutation conferring resistance to fosfomycin,BX571856.1,antibiotic-resistant UhpT,phosphonic acid antibiotic,antibiotic target alteration,,,,
SRR5240351,Ambulances,SRR5240351_bin.1,xx39,Staphylococcus aureus subsp. aureus VC40 (taxid 1028799),Saur_fusE_FA,1,ADL24064.1,ARO:3003737,100,178,0,0,67540,68073,1,178,6.49E-110,348,40392,4642,2256,Staphylococcus aureus fusE with mutation conferring resistance to fusidic acid,CP002114.2,antibiotic resistant fusE,fusidane antibiotic,antibiotic target alteration,,,,
SRR5240351,Ambulances,SRR5240351_bin.1,xx121,Staphylococcus aureus (taxid 1280),Saur_gyrA_FLO,2,WP_000819088.1,ARO:3003296,100,887,0,0,29589,26929,1,887,0,1679,39880,6035,1166,Staphylococcus aureus gyrA conferring resistance to fluoroquinolones,NC_009641.1,fluoroquinolone resistant gyrA,fluoroquinolone antibiotic;nybomycin-like antibiotic,antibiotic target alteration,,,,
