Sample_ID,Category,Bins,Contig_ID,Matched_Species,Abbreviated_Gene_Name,Counts,VFDB_ID,VFDB_ID,Percentage of identical matches, Alignment length,Number of mismatches,Number of gap openings,Start of alignment in query,End of alignment in query,Start of alignment in subject, End of alignment in subject,Expected value,Bit score,Protein_ID,Protein_Function,,,,
SRR5240319,Ambulances,SRR5240319_bin.6,xx102,Enterococcus faecium Com15 (taxid 565663),cpsA/uppS,1,VFG045688(gb,WP_002294134),100,270,0,0,6451,7260,1,270,2.25E-176,543,gb|WP_002294134,(cpsA/uppS) undecaprenyl diphosphate synthase [Capsule (VF0361) - Immune modulation (VFC0258)] [Enterococcus faecium Aus0004],,,,
SRR5240319,Ambulances,SRR5240319_bin.6,xx185,Enterococcus faecium (taxid 1352),bopD,2,VFG045671(gb,WP_002294628),100,339,0,0,6572,7588,1,339,1.1E-219,663,gb|WP_002294628,(bopD) sugar-binding transcriptional regulator  LacI family [BopD (VF0362) - Biofilm (VFC0271)] [Enterococcus faecium Aus0085] ,,,,
SRR5240321,Ambulances,SRR5240321_bin.6,xx104,Stutzerimonas stutzeri DSM 4166 (taxid 996285),mucD,2,VFG014962(gb,WP_011912408),100,473,0,0,33732,32314,1,473,1.49E-301,912,gb|WP_011912408,(mucD) serine protease MucD precursor [Alginate (VF0091) - Biofilm (VFC0271)] [Pseudomonas stutzeri A1501],,,,
SRR5240321,Ambulances,SRR5240321_bin.6,xx124,Stutzerimonas stutzeri DSM 4166 (taxid 996285),mucP,2,VFG015012(gb,WP_011912707),100,450,0,0,38500,39849,1,450,2.45E-292,885,gb|WP_011912707,(mucP) metalloprotease protease [Alginate (VF0091) - Biofilm (VFC0271)] [Pseudomonas stutzeri A1501],,,,
SRR5240321,Ambulances,SRR5240321_bin.6,xx146,Stutzerimonas stutzeri DSM 10701 (taxid 1123519),hdtS,2,VFG015609(gb,WP_011911258),100,249,0,0,34008,34754,1,249,1.66E-163,506,gb|WP_011911258,(hdtS) 1-acyl-sn-glycerol-3-phosphate acyltransferase [Acylhomoserine lactone synthase (VF0907) - Biofilm (VFC0271)] [Pseudomonas stutzeri A1501],,,,
SRR5240321,Ambulances,SRR5240321_bin.6,xx155,Stutzerimonas stutzeri RCH2 (taxid 644801),pilF,1,VFG013833(gb,WP_011914128),100,252,0,0,19639,20394,1,252,3.91E-153,476,gb|WP_011914128,(pilF) type 4 fimbrial biogenesis protein PilF [Type IV pili (VF0082) - Adherence (VFC0001)] [Pseudomonas stutzeri A1501],,,,
SRR5240321,Ambulances,SRR5240321_bin.6,xx345,Stutzerimonas stutzeri CCUG 29243 (taxid 1196835),fliF,1,VFG014420(gb,WP_013983230),100,594,0,0,15052,13271,1,594,0,1122,gb|WP_013983230,(fliF) flagellar M-ring protein FliF [Flagella (VF0273) - Motility (VFC0204)] [Pseudomonas stutzeri A1501],,,,
SRR5240351,Ambulances,SRR5240351_bin.1,xx13,Staphylococcus aureus subsp. aureus ST228 (taxid 1074919),atl,2,VFG004482(gb,WP_001074556),100,1256,0,0,36237,40004,1,1256,0,2396,gb|WP_001074556,(atl) glucosaminidase domain-containing protein [Autolysin alt (VF0997) - Adherence (VFC0001)] [Staphylococcus aureus subsp. aureus USA300_FPR3757],,,,
SRR5240351,Ambulances,SRR5240351_bin.1,xx39,Staphylococcus aureus subsp. aureus VC40 (taxid 1028799),hysA,1,VFG004741(gb,WP_000222239),100,807,0,0,93702,91282,1,807,0,1573,gb|WP_000222239,(hysA) hyaluronate lyase precursor [Hyaluronate lyase (VF0013) - Exoenzyme (VFC0251)] [Staphylococcus aureus subsp. aureus USA300_FPR3757],,,,
SRR5240351,Ambulances,SRR5240351_bin.1,xx76,Staphylococcus aureus subsp. aureus JKD6159 (taxid 869816),set30,1,VFG004899(gb,WP_000669005),100,226,0,0,72219,72896,1,226,4.82E-140,438,gb|WP_000669005,(set30) superantigen-like protein SSL1 [SSLs (VF0990) - Exotoxin (VFC0235)] [Staphylococcus aureus subsp. aureus USA300_FPR3757],,,,
SRR5240351,Ambulances,SRR5240351_bin.1,xx84,Staphylococcus aureus subsp. aureus JKD6159 (taxid 869816),isdB,1,VFG001317(gb,WP_001041586),100,645,0,0,30707,28773,1,645,0,978,gb|WP_001041586,(isdB) iron-regulated surface determinant protein B  haemoglobin receptor [Isd (VF0015) - Nutritional/Metabolic factor (VFC0272)] [Staphylococcus aureus subsp. aureus str. Newman] ,,,,
SRR5240351,Ambulances,SRR5240351_bin.1,xx105,Staphylococcus aureus M1 (taxid 1305598),sdrC,1,VFG004603(gb,YP_499117),100,717,0,0,2500,350,1,717,0,1331,gb|YP_499117,(sdrC) Ser-Asp rich fibrinogen-binding bone sialoprotein-binding protein [SDr (VF0019) - Adherence (VFC0001)] [Staphylococcus aureus subsp. aureus NCTC 8325],,,,
SRR5240351,Ambulances,SRR5240351_bin.1,xx112,Staphylococcus aureus (taxid 1280),ebp,1,VFG004572(gb,WP_000069282),100,486,0,0,43790,42333,1,486,1.14E-200,624,gb|WP_000069282,(ebp) cell surface elastin binding protein [EbpS (VF0008) - Adherence (VFC0001)] [Staphylococcus aureus subsp. aureus USA300_FPR3757],,,,
SRR5240351,Ambulances,SRR5240351_bin.1,xx113,Staphylococcus aureus subsp. aureus SA268 (taxid 1368166),sdrE,1,VFG004587(gb,WP_000610280),100,60,0,0,48933,48754,1054,1113,7.24E-26,120,gb|WP_000610280,(sdrE) Ser-Asp rich fibrinogen-binding bone sialoprotein-binding protein [SDr (VF0019) - Adherence (VFC0001)] [Staphylococcus aureus RF122],,,,
SRR5240351,Ambulances,SRR5240351_bin.1,xx130,Staphylococcus aureus subsp. aureus SA268 (taxid 1368166),SACOL_RS13130,2,VFG043588(gb,WP_001205093),100,387,0,0,3,1163,857,1243,9.08E-215,695,gb|WP_001205093,(SACOL_RS13130) LPXTG-anchored surface protein SasG [SasG (VF1011) - Biofilm (VFC0271)] [Staphylococcus aureus subsp. aureus COL],,,,
